Year,Minister,Speech,,,,,
2004-05,P. Chidambaram,(7) ensuring higher and more efficient fiscal devolution.,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"4. The UPA government began its journey in May this year. However, I may note that one-quarter of the year has elapsed and, by the time the Budget is passed and the President gives his assent to the Finance Bill, nearly one-half of the year will be over. There is also an Interim Budget left behind by my predecessor.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"5. The Government has to shift gears; and even if we are able to do so quickly, it would leave us only about six months to achieve our objectives for this year. We have therefore decided to adopt an innovative approach. The Planning Commission has advised the ministries and departments to redefine their priorities and redraw their programmes in accordance with the NCMP. This will necessarily involve some changes in the allocations under each head of expenditure. Besides, new programmes or schemes may have to be launched, and old ones restructured. Under the circumstances, it was considered optimal to allow the ongoing programmes to continue until the Planning Commission completes an exhaustive review and reorients the expenditure pattern to conform to the NCMP objectives. One thing, however, is clear. The Plan resources made available in the Interim Budget will be insufficient. Hence, in addition to the Gross Budgetary Support (GBS) of Rs.135,071 crore provided in the Interim Budget, I propose to provide a sum of Rs.10,000 crore. This, and some other additional allocations, will raise total plan expenditure to Rs.145,590 crore in the Budget Estimates for 2004-05.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,III. FRBM AND THE MACROECONOMIC BACKDROP,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"6. The Fiscal Responsibility and Budget Management Act (FRBM) 2003 has streamlined the Budget presentation process. The Government has demonstrated its commitment to prudent fiscal and financial policies by notifying the Act and the Rules with effect from July 5, 2004. Along with the Budget, a medium-term fiscal policy statement, a fiscal policy strategy statement and a macroeconomic framework statement are being presented to the House.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"7. Under the FRBM Act, I am obliged to wipe out the revenue deficit by 2007-08. However, the NCMP has proposed that we do so by 2008-09. In my view, 2008-09 is a more credible terminal year; it will also coincide with the term of this Government. Hence, I propose to move an amendment to this effect through the Finance Bill. I am committed to implementing the FRBM Act. The elimination of revenue deficit will open up fiscal space up to 3 per cent of GDP for enhanced public investment without undermining fiscal prudence.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"8. The economic fundamentals appear strong and the balance of payments is robust. Although there are short term pressures on prices, the outlook for the year is benign and the Government is fully alert. Growth will be sustained by increased production and value addition in agriculture, a marked improvement in industrial production, and continued buoyancy in the performance of the services sector.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"9. The Government will follow a 5-year road map to achieve the NCMP objective of bringing about rapid growth with stability and equity. Sequencing the measures in an appropriate fashion and continuing the reform process, which ushered in the era of rapid growth, are the main challenges. The Government is committed to strike a fine balance among the three mutually reinforcing objectives of growth, stability and equity.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,IV. ASSAULT ON POVERTY AND UNEMPLOYMENT,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"10. One of our greatest assets is our human resources, our people. Empowering the people, especially the poor, with universal access to education and health, and facilitating their full participation in the growth process through gainful employment, will enhance their welfare. It will also reinforce the growth process itself. This win-win strategy is the keystone of the economic policy framework of the Government.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Plan reorientation,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"11. I have the benefit of the wise counsel of the Prime Minister, Dr Manmohan Singh. In our scheme of things, the poor will have a first charge not only on the additional sum of Rs.10,000 crore of GBS that I propose to provide today, but also on the entire Plan funds that the Planning Commission will reallocate.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"12. The poor want basic education for their children: we shall provide it, and we shall make sure that the child remains in school for at least eight years. We shall also make sure that the child is not hungry while she or he is at school. The poor want drinking water: we shall ensure that every habitation has an assured source of drinking water. The poor want basic health care, medicines at fair prices and a doctor within a reasonable distance: we shall ensure that the public health system has adequate human and financial resources to provide basic medical care. The poor want jobs for their children: we shall ensure that through higher investments, and through targeted intervention, jobs are available to them.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"13. While the Planning Commission will make the final allocations, I may assure the House that crucial programmes such as Food for Work, Sarva Shiksha Abhiyan, Midday Cooked-Meal Scheme, basic health care, railway moderanisation and safety, Accelerated Irrigation Benefit Programme, drinking water, investment in agriculture, Provision of Rural amenities in Urban Areas (PURA), roads, and science and technology, including bio-technology, will receive priority and will be provided with additional funds.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Antyodaya Anna Yojana,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"14. I propose to continue, and expand, the Antyodaya Anna Yojana. At present, 1.5 crore families are covered. These families are provided with 35 kg. of foodgrains per family per month at a highly subsidized price of Rs. 2 per kg. for wheat and Rs.3 per kg for rice. 20.76 lakh tonnes of rice and 17.48 lakh tonnes of wheat were distributed under the Scheme in 2003-04. In the current year, I propose to cover 2 crore families. I expect that the off-take of rice and wheat will increase. Consequently, the Antyodaya Anna Yojana will receive a subsidy of nearly Rs.3500 crore. A provision for this level of expenditure has been included in the allocation for food subsidy of Rs.25,800 crore.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Public distribution system,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,15. Fair price shops constitute the backbone of the food security system for the poor. We shall address the weaknesses in the system and strengthen public distribution. I shall return to this subject a little later.,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Food for Work Programme,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"16. Investment and growth will create new job opportunities for our young men and women. Nevertheless, currently there is a need to ensure that unemployment does not take a heavy toll on the poor people. Work has begun on the National Employment Guarantee Act. The object is to guarantee 100 days of employment in a year to one able-bodied person in every poor household. The Bill will take into account the experience gained in Maharashtra. Government will also take care to avoid the pitfalls pointed out by responsible critics. My colleague, the Minister of Labour, expects that he would be able to introduce the Bill in Parliament shortly. Pending the enactment of the new law, I propose to launch a new Food for Work programme in 150 districts classified as most backward and identified as areas in immediate need of such a programme. Allocations under different schemes will be pulled together to support the Food for Work programme. There are substantial funds totalling over Rs.6000 crore under SGRY, SGSY, SJSRY, REGP and PMRY. Depending on the demand for such work, more funds will be allocated in the current year. I expect to increase the allocations substantially over the next four years. Special care will be taken in laying down the guidelines for the programme so that the money and labour expended result in durable and visible assets benefiting the whole community.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Scheduled Castes and Scheduled Tribes,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"17. The welfare of the Scheduled Castes and Scheduled Tribes is close to my heart. The allocation for programmes concerning the Scheduled Castes is Rs.1180 crore (an increase from Rs.1137 crore) and for Scheduled Tribes is Rs.1146 crore (an increase from Rs.1087 crore). Other plan schemes such as SGSY, SGRY and IAY also contain specific reservations for beneficiaries belonging to the Scheduled Castes and Scheduled Tribes. The reservations range from 50 per cent to 60 per cent.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Minorities,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"18. Particular attention will be paid to the welfare, especially education, of the minorities. Hence, an additional allocation of Rs.50 crore has been made for the National Minorities Development and Finance Corporation.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Self-help groups,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"19. Microfinance initiatives are a cost-effective way to take the banking system to the poor. The Self-Help Group (SHG) – bank linkage programme, initiated in 1992, has come a long way. Until March 31, 2004, 1.67 crore families had benefited through 10.79 lakh SHGs financed by banks. While the SHG concept will be promoted vigorously, I am of the view that matured SHGs may be in a position to graduate from consumption or production credit to starting micro-enterprises. An indicative target of credit linking 5.85 lakh SHGs during the period up to March 31, 2007 has been set for NABARD, SIDBI, banks and other agencies.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,V. THRUST AREAS,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"20. Before I deal with other areas of concern on which the Budget will have an impact, let me give you a snapshot of the goals that I have set for myself :",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"• Doubling agricultural credit in three years, accelerating the completion of irrigation projects and investing in rural infrastructure;",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,• Providing farm insurance and livestock insurance;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"• Improving agricultural product markets, and promoting agri-businesses;",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,• Drinking water for all;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"• Expanding water harvesting, watershed development and minor- irrigation and micro-irrigation schemes;",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"• Enhancing investment in industry – public and private, domestic and foreign – to create new jobs;",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,• Creating space for small-scale industry to thrive and grow;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,• Electricity for all;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,• Universal access to telecommunication facilities;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,• More housing for the poor;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,• Access to medical care through health insurance; and,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"• Encouraging savings, and protecting the savings of senior citizens;",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"21. I believe that the key to growth is investment – public and private, domestic and foreign. It is therefore my intention to considerably enhance investment in all sectors of the economy. However, fiscal prudence and financial discipline will remain the overarching objective. I shall also take into account the availability of resources and the absorptive capacity of various sectors.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,VI. EDUCATION AND HEALTH,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Education,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"22. In my scheme of things, no issue enjoys a higher priority than providing basic education to all children. The NCMP mandates Government to levy an education cess. I propose to levy a cess of 2 per cent. The new cess will yield about Rs.4000 - 5000 crore in a full year. The whole of the amount collected as cess will be earmarked for education, which will naturally include providing a nutritious cooked midday meal. If primary education and the nutritious cooked meal scheme can work hand in hand, I believe there will be a new dawn for the poor children of India.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"23. I am concerned about the quality of technical education in the country. Lest I be misunderstood, I am not referring to the IITs but to the ITIs. ITIs are the training ground for skilled manpower. The skills imparted by ITIs must keep pace with the technological demands of industry and the expanding universe of knowledge. There is only one benchmark for our technicians – and that is the world standard. In order to produce technicians of world standard, Government proposes to launch a programme in the Central sector to upgrade 500 ITIs over the next 5 years at the rate of 100 ITIs a year. Appropriate infrastructure and equipment will be provided, the syllabi will be upgraded and new trades will be introduced. This is an area where I welcome Chambers of Commerce and Industry to join hands with the Government and create a public-private partnership model for designing and implementing the scheme. The selection of the ITIs will be done in consultation with the State Governments.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"24. An education loan scheme has been in operation since April 2001 under which loans up to Rs.7.50 lakh and Rs.15 lakh are available for professional courses within the country and abroad, respectively. The requirement of collateral was dispensed with for loans up to Rs.4 lakh. I am happy to say that commercial banks have now agreed to waive the need for collateral for loans up to Rs.7.5 lakh, if a satisfactory guarantee is provided on behalf of the student. Thus, no student admitted to any professional course, including courses in IITs, IIMs and medical colleges, will be deprived of the opportunity to study because of lack of funds.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Health,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"25. Access to medical care is not easily available to the poor. The Universal Health Insurance Scheme (UHIS) now in operation is skewed in favour of the non-poor. As a result, only a very small number of families below the poverty line (BPL) – actually 11,408 till May, 2004 – have been covered. Although the premiums are low, BPL families seem to avoid the scheme due to their inability to pay the premium. In its present design, the scheme may not be sustainable. I, therefore, propose to redesign the scheme and make it exclusive for persons and families below the poverty line. The revised premium would be Rs.165 for individuals, Rs.248 for a family of five and Rs.330 for a family of seven, without any reduction in benefits. To offset the reduction in premium, I propose to enhance the premium subsidy from Rs.100 at present to Rs.200 for an individual, Rs.300 for a family of five and Rs.400 for a family of seven. The cost to the exchequer will be Rs.40 crore in a full year. If the money is fully spent, the number insured will rise to about 10 lakh.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"26. In addition to the above, I propose to introduce a new Group Health Insurance Scheme through public sector non-life insurance companies. The insured will be members of Self-Help Groups (SHGs) and other credit linked groups (CLGs) who avail of loans from banks or cooperative institutions. Under the group health insurance scheme, the premium will be Rs.120 per person, but the insurance cover would be for a sum of Rs.10,000.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"27. The NCMP also rightly emphasizes the need for an accelerated AIDS control programme. Bold and determined efforts need to be made to achieve zero-level growth of HIV/AIDS. These will include improved surveillance through the setting up of more sentinel sites and use of primary health centres to monitor HIV/AIDS, public awareness campaigns, promotion of safe sex through the use of condoms, prevention of drug abuse and distribution of disposable syringes. The allocation for prevention and control of HIV/AIDS is Rs. 259 crore.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,VII. AGRICULTURE AND THE RURAL ECONOMY,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"28. Boosting agricultural growth through diversification and development of agro-processing is one of the objectives of the NCMP. The Prime Minister, in his address to the Nation on June 24, 2004 promised a ""New Deal"" for rural India. This New Deal is not only essential for rural development and welfare, but also essential for achieving sustained overall annual growth of 7-8 per cent and generating employment.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,29. The agriculture sector requires massive investments. Such investments have to be through credit-enabled private investment and enhanced public investment. I also intend to use fiscal instruments to boost investment in agriculture.,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Credit,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"30. It is my intention to double the flow of agricultural credit in three years. We have made a beginning by announcing a comprehensive policy on agricultural credit on June 18, 2004. The policy has been received well and will be fine-tuned, if necessary.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"31. Government has entrusted the implementation of the policy to the public sector and private sector banks, the regional rural banks (RRBs) and the cooperative banks.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,32. Each RRB has a sponsor bank. I propose to hold each sponsor bank squarely accountable for the performance of RRBs under its control. RRBs that adopt a new governance standard and that abide by the prudential regulations will qualify for receiving funds from the Government for their restructuring.,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"33. The third arm for delivering farm credit is the cooperative banking system. Unless cooperative banks are healthy and creditworthy, it would not be possible to reach credit to every farmer in need of credit. The situation is grave. In order to find a durable solution, I propose to appoint a Task Force to examine the reforms required in the cooperative banking system including the appropriate regulatory regime. The Task Force will be requested to act with all deliberate speed and submit its report by October 31, 2004.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"Irrigation, Rural Infrastructure",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"34. The Accelerated Irrigation Benefit Programme (AIBP) was introduced in 1996-97 and was allotted large funds year after year. Yet, out of 178 large and medium irrigation projects that were identified, only 28 have been completed. The programme is being restructured. Truly last mile projects that can be completed by March 2005 will be given overriding priority, and other projects that can be completed by March 2006 will also be taken up in the current year. Next year we shall move the goal-post to March 2007, the year after to March 2008, and so on. I have provided a sum of Rs.2800 crore to the AIBP this year.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"35. The Rural Infrastructure Development Fund (RIDF) was established in NABARD in 1994-95. Five months ago, a decision was taken to close the RIDF and establish, in its place, another Fund with slightly different objectives. Many State Governments and many honourable Members have opposed the closure of RIDF. In deference to their wishes, and in tune with my own thinking, I have decided to revive the RIDF. RIDF’s guidelines have been revised, and a corpus of Rs.8000 crore will be provided for RIDF during 2004-05.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Restoring water bodies,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"36. I now turn to one of my big dreams. Water is the lifeline of civilization. We have been warned that the biggest crisis that the world will face in the 21st century will be the crisis of water. Water is indeed a renewable resource but, in any given year, it is not inexhaustible. The crisis of water has affected the lives of millions of our fellow citizens. In some cities, whole households keep awake to receive one or two buckets of water well past midnight. In rural areas, the girl child is often pulled out of school in order to fetch water. I am deeply concerned about the impending crisis. I therefore propose an ambitious scheme. Through the ages, Indian agriculture has been sustained by natural and man-made water bodies such as lakes, tanks, ponds and similar structures. It has been estimated that there are more than a million such structures and about 500,000 are used for irrigation. Many of them have fallen into disuse. Many of them have accumulated silt. Many require urgent repairs.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"37. I therefore propose to launch a massive scheme to repair, renovate and restore all the water bodies that are directly linked to agriculture. In the current year, we shall begin with pilot projects in at least five districts, and we shall select at least one district in each of the five regions of the country. The estimated cost is Rs.100 crore. Funds for the five pilot projects will be drawn from existing programmes such as SGRY, PMGJSY, DPAP, DDP and IWDP. Once the pilot projects are completed and validated, Government will launch the National Water Resources Development Project and complete it over a period of 7 to 10 years.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"38. Funds will not be a constraint for implementing the Project. For instance, Life Insurance Corporation of India invests, on an average, Rs.3000 crore per year in water-related programmes. I also intend to pose this Project to multilateral agencies for funding. It is my hope that by the beginning of the next decade all water bodies in India will be restored to their original glory and that the storage capacity of these water bodies will be augmented by at least 100 per cent.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Water harvesting,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"39. Water harvesting schemes, specific to an area or village, have been found to be extremely useful. Such schemes are supported by a number of credit institutions. However, farmers belonging to the Scheduled Castes and Scheduled Tribes rarely benefit from such schemes. In order to help these farmers, Government will launch a nationwide water harvesting scheme. The scheme will cover one lakh irrigation units at an average cost of Rs.20,000 per unit. NABARD will lend the money on easy terms and no margin money will be charged from the borrower. Government will provide a 50 per cent capital subsidy through NABARD, and the estimate for the scheme is Rs.100 crore.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Flood control,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"40. Thousands of lives and thousands of head of cattle are lost every year due to floods. Floods are perennial in States like Assam, West Bengal, Bihar and Uttar Pradesh. The NCMP envisages full Central support to flood control works in inter-State rivers and international rivers. The Brahmaputra Board has prepared a plan for anti-erosion and flood control works in the Brahmaputra and Barak valleys. A programme of flood control and anti-erosion will be launched in the current year. A similar programme is being implemented in the Ganga-basin States of Uttaranchal, Uttar Pradesh, Bihar, Jharkhand and West Bengal. Rs.30 crore has been allotted in the current year and additional funds will be provided to keep pace with the progress of works.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Diversification,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"41. India is self-sufficient in wheat and paddy but deficient in other agricultural produce. The time has come to encourage our farmers to diversify into areas such as horticulture, floriculture and oilseeds. The Anand model has been a great success in milk and milk products. Government proposes to launch a National Horticulture Mission. The goal is to double horticulture production from the current level of 150 million tonnes to 300 million tonnes by 2011-12. I invite States to join hands with the Government in launching this mission. One of the steps that States will be encouraged to take is to emulate the Anand model and establish a State Level Cooperative Society for promoting horticulture.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"42. Oilseeds is another critical area. Last year, we produced 25 million tonnes of oilseeds, but we also imported US$ 2.5 billion of edible oil. Government will facilitate farmers to diversify into oilseeds by promoting superior seed-technology and through an appropriate policy of price support.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"43. India must become a single market for all products, particularly agricultural produce. The existing Acts governing agricultural produce marketing committees have outlived their utility. The Government has circulated a model law. So far, ten States have initiated legal or administrative action for ‘direct marketing’ and ‘contract farming’ arrangements in line with the model law. I urge all States to enact the model law at an early date.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Research and Development,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"44. Agricultural research and development is an area which deserves special attention. The Indian Council of Agricultural Research (ICAR) is a beneficiary of the scheme under which every commercial rupee earned by ICAR, incrementally, is matched by another rupee from the Budget. Besides, ICAR receives funds from the Technology Development Board in respect of projects that are commercially viable. Agricultural research must be expanded rapidly to new frontiers such as bio-technology, vaccines and diagnostics. There must be a special focus on farming in drylands and unirrigated areas. The allocation for 2004-05 is Rs.1000 crore (which is an increase from Rs.775 crore in BE 2003-04), and I propose to make further allocations during the course of the year.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Agri-business,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"45. The Small Farmers Agri-business Consortium (SFAC) was set up in 1994. Although SFAC started functioning from 1998, its corpus stands at a meagre Rs.10.95 crore. In my view, SFAC should provide venture capital to projects and must be run, preferably by a banker, on purely business lines. The MS Swaminathan Research Foundation has identified 13 districts where there is a huge potential for agri-businesses and an appetite for investment of nearly Rs.170 crore. The Ministry of Agriculture has initiated action to improve the governance of SFAC, including the appointment of a banker as the chief executive. For my part, I propose to provide the necessary additional capital that SFAC will require to aggressively promote agri-businesses.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Risk mitigation,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"46. The Agricultural Insurance Company (AIC) was incorporated in December 2002. The National Agricultural Insurance Scheme (NAIS) which insures the yield or crop is in operation since Rabi 1999-2000. AIC is redesigning the scheme. We shall continue with the scheme and make another evaluation. Meanwhile, a pilot scheme insuring farm income (as opposed to crop) has been launched in 19 districts across 12 States during Rabi 2003-04. Government has decided to extend the scheme to Kharif 2004 in order to assess its feasibility. I wish to add that a weather insurance scheme appears to be more promising, at least in the design. AIC is introducing the scheme on a trial basis in 20 rain gauge stations in the current crop season. It is difficult to tell at this stage which of the three schemes will be successful. Agricultural insurance as well as livestock insurance are complex products and have to be designed with care. I wish to re-affirm Government’s commitment to provide insurance cover to farming and livestock.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,VIII. INFRASTRUCTURE,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,47. Sustainable growth depends upon the availability of efficient infrastructure. Government is committed to removing the inadequacies in infrastructure facilities through a mix of policy and fiscal measures.,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Inter-Institutional Group,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"48. An Inter-Institutional Group in the power sector has succeeded in bringing 6 power projects to financial closure. Another 10 projects are on the verge of achieving financial closure. The concept can be extended to some other infrastructure sectors. I am glad to announce that IDBI, IDFC, ICICI Bank, SBI, LIC, Bank of Baroda and Punjab National Bank have formed an Inter-Institutional Group (IIG). They will pool their resources on a callable basis, and a sum of Rs.40,000 crore will be made available as and when necessary. The IIG will ensure speedy conclusion of loan agreements and implementation of infrastructure projects. Initially, airports, seaports and tourism will be the target sectors of the IIG.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Water supply,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"49. The Rajiv Gandhi Drinking Water Mission was intended to be implemented in the mission mode. In recent years, however, new programmes have sprung up obscuring the original mission. More than 75,000 habitations are yet to be provided adequate drinking water. Government intends to bring all drinking water schemes under the umbrella of the Rajiv Gandhi Drinking Water Mission.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"50. The Accelerated Rural Water Supply Progamme (ARWSP) has been allocated Rs.2610 crore in the current year. It will focus on renewal of water sources and on serving uncovered and partially covered habitations. Panchayati raj institutions will be encouraged to plan, implement, own, operate and maintain the rural water supply schemes in consultation with the State Governments. Funds will be devolved on Panchayati raj institutions to implement the ARWSP.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"51. Likewise, the Urban Water Supply Programme is in operation in urban areas. 2151 towns qualify for consideration under the programme. In the current year a provision of Rs.151.25 crore has been made.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"52. The city of Chennai and other cities suffer from acute scarcity of drinking water. It is proposed to install the first large desalination plant near Chennai in the State sector, and more such plants will be installed along the Coromandel coast. A desalination plant with a capacity of 300 million litres per day (MLD) is estimated to cost Rs.1000 crore, and there will be other costs for transmission pipelines and a captive power plant. It is proposed to implement the project through public-private partnership.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,Sethusamudram Ship Canal Project,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,53. The Sethusamudram Ship Canal Project is a longstanding,,,,,
