Sr.no,content
19,"The government might consider raising the standard deduction to at least ₹1 lakh, streamline tax slabs, taxation of employer contributions and ESOPs tax while giving a higher allocation of capital expenditure with a focus on boosting rural sector demand in the Union Budget, experts believe."
20,"Some of the key demands of employee unions are to set up the 8th Pay Commission, restore the Old Pension Scheme and fill up existing job vacancies. Economists at Goldman Sachs expect the budget to push labour intensive manufacturing through fiscal incentives across sectors like toys, textiles and apparel manufacturing, along with commercial aircraft manufacturing. Santanu Sengupta, chief India economist wrote in a note: ""We see an emphasis on job creation through labor-intensive manufacturing, credit for micro, small and medium enterprises, continued focus on services exports by expanding global capability centres, and a thrust on domestic food supply chain."""
21,"Meanwhile, amid push for Artificial Intelligence in various sectors, recommendations have also been made to the FM to include provisions in the budget that can help re-skill and rehabilitate workers impacted by the use of AI. A proposal for ‘robot tax’ was one such recommendation given by RSS’s associate organisations like the Swadeshi Jagran Manch (SJM) and Bharatiya Kisan Sangh (BKS), at a recent meeting of economists with Finance Minister Nirmala Sitharaman."
22," Indian Prime Minister Narendra Modi, despite losing seats in the recent general election, secured a third term. His alliance partners are now seeking significant federal funding for regional development projects, challenging Modi's fiscal conservatism. India's inclusion in global bond indices may ease borrowing costs but also demands greater transparency and fiscal responsibility to maintain economic stability."
23," there’s agreement on the direction of India’s deficit: downwards. Modi needs to preserve that trust, even when faced with new demands from pesky regional parties.Such pressures are, after all, only part of the strains that India’s budget will have to address. Most politicians interpreted the unexpected election results as a sign that India’s job shortage was beginning to bite. The government will be tempted to respond by being more generous — for example, by expanding the number of make-work public sector jobs available to India’s vast army of unemployed youth."
24,"The government is considering a change in the holding period for computing capital gains tax on immovable assets such as real estate to bring about uniformity, ET has reported based on information from sources. Currently, any capital gain from the sale of real estate held for 24 months or less is treated as a short-term capital gain. In contrast, the holding period threshold for listed equities and equity mutual funds is 12 months. Reducing the holding period may bring more properties to market "
25,Union Budget 2024 expectations: Venture capitalists and industry experts are rallying behind a crucial demand which is the removal of angel tax to further promote a more conducive environment for startups in India.
26,"The real estate sector has put up various demands ahead of the Union Budget to support and grow the sector in India. The National Real Estate Development Council (NAREDCO) has pu recommendations for the sector.
The body stated that these recommendations aim to address existing challenges and stimulate growth in the real estate sector, ultimately contributing to the government’s goal of ‘Housing for All’."
27,"Some needy sectors like agriculture, infrastructure, and MSMEs got budgetary policy interventions, although it can be debated whether the measures were adequate enough. Besides, the expenditure profile, based on the previous years' budget documents, indicates that job creation has been the top most priority for the government. In particular, the NDA government's fiscal policy choices have come under sharp focus, even as expectations are mounting that Finance Minister Nirmala Sitharaman may do things differently when she presents the FY25 budget on July 23."
28,"While we await the actual announcements, it's speculated that the government is considering a pretty wide range of things to do. From lowering rates for certain categories of individual income earners to boost consumption to raising the annual cash dole to small farmers from Rs 6,000 to Rs 8,000, to increasing payments under the minimum job guarantee programme, and so on. There's talk of introducing a new tax bracket even, besides increasing the current limit of deduction under section 80C to Rs 2 lakh from Rs 1.5 lakh. It has remained unchanged since 2014 and the much-needed revision will be a crowd-pleaser.
While we await the actual announcements, it's speculated that the government is considering a pretty wide range of things to do. From lowering rates for certain categories of individual income earners to boost consumption to raising the annual cash dole to small farmers from Rs 6,000 to Rs 8,000, to increasing payments under the minimum job guarantee programme, and so on. There's talk of introducing a new tax bracket even, besides increasing the current limit of deduction under section 80C to Rs 2 lakh from Rs 1.5 lakh. It has remained unchanged since 2014 and the much-needed revision will be a crowd-pleaser.
While we await the actual announcements, it's speculated that the government is considering a pretty wide range of things to do. From lowering rates for certain categories of individual income earners to boost consumption to raising the annual cash dole to small farmers from Rs 6,000 to Rs 8,000, to increasing payments under the minimum job guarantee programme, and so on. There's talk of introducing a new tax bracket even, besides increasing the current limit of deduction under section 80C to Rs 2 lakh from Rs 1.5 lakh. It has remained unchanged since 2014 and the much-needed revision will be a crowd-pleaser.
"
29,"India's economy is expanding at the fastest rate among major emerging economies, and tax receipts are higher, factors that could prompt Finance Minister Nirmala Sitharaman to increase spending in the Union.The budget is expected to see an increase in spending on infrastructure and welfare programmes such as rural housing, following bumper dividend payouts from the central bank and increased tax revenue. However, Sitharaman is likely to adhere to the interim budget's fiscal deficit targets. Budget"
30,"Doubling standard deduction to ₹1 lakh, increasing tax break on interest paid on housing loan and rationalisation of capital gains tax regime are some of the expectations that consultancy firm KPMG has from the Budget 2024-25 to be unveiled on July 23 in Parliament.
"
